Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Auraticoccus	183	89	4612
Raineyella	73	41	3326
Propionimicrobium	29	23	833
Nocardioides	1466	914	37613
Aeromicrobium	365	243	11842
Friedmanniella	274	124	6298
Actinopolymorpha	133	55	1103
Kribbella	106	70	2417
Micropruina	77	40	4665
Marmoricola	49	19	983
Pimelobacter	46	44	2563
Amycolatopsis	1237	708	20641
Pseudonocardia	655	421	11292
Saccharomonospora	460	256	10350
Actinoalloteichus	387	232	4776
Saccharothrix	331	233	4793
Actinosynnema	239	159	4272
Alloactinosynnema	212	80	3398
Kibdelosporangium	192	110	3021
Saccharopolyspora	183	98	5068
Lentzea	155	117	3761
Allokutzneria	118	61	2990
Kutzneria	105	110	2111
Prauserella	82	56	790
Micromonospora	2037	1348	38282
Actinoplanes	1432	829	20116
Plantactinospora	241	391	7513
Verrucosispora	144	76	1547
Salinispora	138	102	1388
Nonomuraea	413	242	10723
Streptosporangium	389	239	7339
Nocardiopsis	472	275	9120
Streptomonospora	135	75	2022
Thermobifida	66	41	2254
Actinomadura	450	312	9979
Thermomonospora	146	77	6253
Bifidobacterium	1058	678	22670
Gardnerella	189	127	2032
Scardovia	87	48	476
Parascardovia	20	7	622
Frankia	804	490	9227
Jatrophihabitans	61	57	838
CandidatusPlanktophila	255	149	2294
CandidatusNanopelagicus	215	91	837
Catenulispora	405	248	4832
Blastococcus	184	120	2066
Geodermatophilus	116	62	4894
Modestobacter	70	41	2535
Nakamurella	294	158	5661
Jiangella	255	203	7860
Stackebrandtia	141	74	2029
Kineococcus	93	60	3079
Actinopolyspora	81	50	893
Thermobispora	58	36	2096
Acidothermus	42	18	167
Epidermidibacterium	9	8	1404
Gordonibacter	139	75	2619
Eggerthella	131	65	1450
Adlercreutzia	125	50	1679
Slackia	87	49	1357
Denitrobacterium	40	25	801
Cryptobacterium	29	11	1621
Arabia	28	33	137
Phoenicibacter	14	8	30
Olsenella	169	77	4562
Parolsenella	71	47	971
Atopobium	66	31	477
Libanicoccus	50	21	1889
Coriobacterium	70	33	236
Collinsella	65	34	1961
Rubrobacter	266	197	2278
Baekduia	98	56	2348
Euzebya	124	64	2105
Egibacter	119	78	1116
Egicoccus	69	24	1059
Ilumatobacter	68	33	1227
Acidimicrobium	24	32	1014
Conexibacter	57	52	1768
Nostoc	4693	2896	0
Anabaena	836	494	0
Trichormus	572	390	0
Cylindrospermum	248	160	0
Calothrix	2886	1846	0
Dolichospermum	427	223	0
Nodularia	300	162	0
Sphaerospermopsis	264	182	0
Anabaenopsis	161	95	0
Raphidiopsis	91	47	0
Rivularia	576	375	0
Microchaete	235	143	0
Scytonema	507	372	0
Fischerella	479	297	0
Synechococcus	1512	851	15586
CandidatusIzimaplasma	153	89	319
Dehalococcoides	854	620	3668
Dehalogenimonas	21	15	312
Anaerolinea	107	84	742
Brevefilum	105	42	121
Pelolinea	89	36	630
Roseiflexus	168	101	2129
Chloroflexus	93	67	923
Ktedonosporobacter	204	98	372
Sphaerobacter	99	56	2510
Thermomicrobium	24	13	502
Caldilinea	103	64	738
CandidatusPromineofilum	94	84	2772
Tepidiforma	17	8	1547
Deinococcus	1115	791	0
Truepera	27	17	0
Thermus	487	947	0
Meiothermus	131	85	0
Marinithermus	54	15	0
Oceanithermus	30	19	0
Fimbriimonas	77	32	993
Chthonomonas	37	16	789
Thermobaculum	112	81	512
Salmonella	18153	92188	148224
Enterobacter	2949	3208	37392
Klebsiella	2770	388553	35681
Escherichia	2365	6885	46767
Citrobacter	1729	1324	20960
CandidatusBlochmannia	538	415	740
CandidatusHamiltonella	186	124	458
CandidatusTachikawaea	138	96	189
CandidatusGullanella	52	29	87
CandidatusPurcelliella	46	26	306
CandidatusMikella	43	13	35
CandidatusAnnandia	30	26	114
CandidatusDoolittlea	15	18	604
CandidatusHoaglandella	8	3	79
Kosakonia	894	516	9135
Shigella	650	3215	5110
Leclercia	502	284	8308
Cedecea	479	260	4409
Cronobacter	470	287	10487
Raoultella	378	247	8286
Lelliottia	322	222	3916
Pluralibacter	185	363	4279
Limnobaculum	112	74	445
CandidatusRiesia	112	91	463
Izhakiella	106	38	995
Shimwellia	99	69	2060
Buttiauxella	97	85	711
Kluyvera	94	80	1927
Atlantibacter	60	35	2359
Gibbsiella	56	40	4691
CandidatusIshikawaella	32	26	74
Pseudescherichia	17	14	2169
CandidatusMoranella	17	14	296
Metakosakonia	4	1	2517
Buchnera	3127	2157	7224
Pantoea	1866	1118	28482
Erwinia	1512	987	15717
Tatumella	361	196	1698
Mixta	346	202	9097
Wigglesworthia	135	110	92
Proteus	2318	1670	6718
Providencia	2135	1466	8501
Xenorhabdus	1021	570	6112
Photorhabdus	499	386	1792
Arsenophonus	446	245	1588
Morganella	323	165	3626
Serratia	3406	5452	47355
Yersinia	2141	1493	19846
Rahnella	365	212	3826
Chania	159	79	896
Nissabacter	139	69	5386
Rouxiella	109	44	499
CandidatusFukatsuia	70	39	372
Dickeya	1079	714	19147
Pectobacterium	996	573	8896
Brenneria	279	209	6148
Sodalis	247	108	9825
Lonsdalea	70	37	866
Hafnia	836	513	3865
Edwardsiella	601	429	9331
Obesumbacterium	107	126	1309
Pragia	302	186	1323
Leminorella	137	98	1386
Plesiomonas	106	71	4401
Phytobacter	47	36	2604
Pseudomonas	23890	25184	2330402
Azotobacter	347	224	17239
Oblitimonas	87	71	1039
Permianibacter	75	46	3617
Acinetobacter	8242	7042	35363
Moraxella	1967	758	11906
Psychrobacter	953	500	11826
Alteromonas	1567	946	10152
Salinimonas	1367	898	1807
Marinobacter	1118	615	32155
Paraglaciecola	668	348	1992
Glaciecola	661	416	3563
Catenovulum	402	223	2064
Hydrocarboniclastica	110	52	2975
Lacimicrobium	96	43	612
Saliniradius	81	35	1085
Agarivorans	61	30	1597
Shewanella	5270	3268	34743
Parashewanella	534	248	1303
Pseudoalteromonas	5365	3327	18702
Colwellia	1512	887	3711
Thalassotalea	229	161	2392
Litorilituus	132	83	362
Moritella	582	385	1665
Psychromonas	398	241	664
Idiomarina	203	114	2856
Ferrimonas	80	33	2858
Vibrio	9457	5996	60632
Aliivibrio	836	600	1772
Photobacterium	749	543	5445
Paraphotobacterium	277	164	313
Enterovibrio	135	105	409
Grimontia	120	63	1337
Salinivibrio	110	56	1732
Pasteurella	4234	611	3296524
Haemophilus	2053	1544	36542
Aggregatibacter	658	322	21247
Bibersteinia	625	2128	334345
Actinobacillus	623	337	37501
Mannheimia	556	844	46136
Glaesserella	390	129	30411
Rodentibacter	198	112	2477
Avibacterium	193	125	7749
Gallibacterium	140	56	3034
Histophilus	138	83	9969
Otariodibacter	89	45	6182
Basfia	77	45	3963
Frederiksenia	3	0	23
Xanthomonas	2152	160318	457404
Stenotrophomonas	1894	1116	378766
Lysobacter	968	443	263989
Luteimonas	409	233	130927
Thermomonas	303	112	23694
Xylella	202	120	7010
Pseudoxanthomonas	181	87	94349
Pseudolysobacter	120	66	17772
Arenimonas	44	10	27786
Dyella	232	147	44713
Rhodanobacter	183	118	36597
Ahniella	94	30	13708
Frateuria	80	36	16492
Luteibacter	64	30	15867
Dokdonella	58	27	34737
Aerosticca	19	14	36522
Halomonas	2056	1214	82624
CandidatusPortiera	70	54	130
CandidatusCarsonella	64	60	666
Zymobacter	56	29	1853
CandidatusEvansia	24	13	193
Kushneria	135	83	8189
Halotalea	83	31	3069
Cobetia	83	64	6677
Chromohalobacter	41	21	3485
Pistricoccus	37	24	4223
Salinicola	21	14	4891
Marinomonas	541	379	3315
Thalassolituus	108	69	1092
Nitrincola	99	51	1062
Oleispira	99	48	846
Marinobacterium	95	58	3205
Neptunomonas	62	29	726
Bacterioplanes	61	16	1851
Alcanivorax	711	246	18666
Ketobacter	89	45	1281
Gynuella	132	71	1599
Saccharospirillum	99	59	8005
Reinekea	64	37	1177
Kangiella	295	138	3061
Hahella	207	109	7001
Oleiphilus	122	73	2532
Endozoicomonas	36	24	795
Litoricola	7	6	1406
Legionella	3446	2116	12303
Fluoribacter	141	90	488
Tatlockia	123	61	1032
Coxiella	315	175	1652
Rickettsiella	102	49	1003
Aquicella	98	60	1552
Francisella	2188	1397	4817
Allofrancisella	77	51	421
Piscirickettsia	257	134	1863
Thiomicrorhabdus	211	122	2337
Hydrogenovibrio	200	100	2031
Thiomicrospira	192	84	3545
Methylophaga	153	85	1187
Cycloclasticus	60	43	659
Beggiatoa	193	127	819
Thioploca	156	67	1187
Acidihalobacter	400	277	13429
Thioalkalivibrio	291	175	25452
Spiribacter	124	87	11018
Halorhodospira	94	50	3475
Ectothiorhodospira	90	63	11724
Alkalilimnicola	59	37	6959
Nitrosococcus	331	153	3920
Rheinheimera	196	105	1851
Thiodictyon	90	26	5019
Marichromatium	79	59	8363
CandidatusNitrosoglobus	79	44	296
Thiocystis	76	39	4846
Allochromatium	73	45	9903
Thermochromatium	55	30	5314
Thioflavicoccus	36	35	4209
Granulosicoccus	155	53	1076
Sulfuriflexus	93	45	1887
Wenzhouxiangella	116	83	7111
Halothiobacillus	112	61	6789
Woeseia	78	50	3014
Sulfurivermis	51	14	6906
Thiohalobacter	43	21	8745
Guyparkeria	38	25	3962
Cellvibrio	522	277	8392
Agarilytica	312	217	1070
Saccharophagus	116	79	1496
Teredinibacter	102	59	2211
Simiduia	74	33	3571
Microbulbifer	843	532	19116
Halioglobus	169	94	3968
Congregibacter	149	74	2741
Kineobactrum	99	55	2444
Zhongshania	127	52	1150
Spongiibacter	58	11	1421
Oceanicoccus	55	30	1307
Aeromonas	2021	380981	58034
Oceanisphaera	244	141	3211
Tolumonas	88	52	1278
Zobellella	74	48	8173
Oceanimonas	50	24	5687
Succinivibrio	159	82	413
CandidatusRuthia	74	45	48
CandidatusThioglobus	265	153	1394
Pseudohongiella	142	94	1799
Sedimenticola	79	27	4021
Gallaecimonas	58	31	1079
Thiolapillus	51	30	2627
CandidatusNardonella	43	27	85
Methylomonas	460	293	23132
Methylomicrobium	197	105	12450
CandidatusMethylospira	164	62	2442
Methylovulum	125	59	2815
Methylocaldum	119	61	2548
Methylococcus	73	66	5468
Gilliamella	370	197	1977
Frischella	92	72	513
Solimonas	129	86	6804
Sinimarinibacterium	57	32	10536
Steroidobacter	96	72	4569
Cardiobacterium	137	23	269931
Dichelobacter	76	32	14159
Sulfurifustis	96	59	2548
Acidiferrobacter	68	25	3133
Sulfuricaulis	29	8	4555
Salinisphaera	41	13	3655
Immundisolibacter	39	21	9884
Burkholderia	5347	36216942	217993
Paraburkholderia	3151	12194	88551
Cupriavidus	2579	111397	173581
Ralstonia	1181	22874	134206
Pandoraea	857	848	61668
Lautropia	770	61	83113
Polynucleobacter	728	420	13830
Caballeronia	165	180	1606
Ephemeroptericola	133	51	4507
Mycetohabitans	81	54	2379
Mycoavidus	63	52	2198
Variovorax	1789	900	352385
Acidovorax	1351	651	699969
Hydrogenophaga	1102	481	272165
Comamonas	908	460	492089
Rhodoferax	643	250	155578
Ottowia	605	112	369376
Delftia	503	248	152451
Polaromonas	358	154	85049
Ramlibacter	215	123	85769
Limnohabitans	207	86	45117
Pulveribacter	203	80	115312
Simplicispira	196	73	57401
Alicycliphilus	194	74	75396
Diaphorobacter	178	38	139655
Serpentinomonas	135	39	105602
Melaminivora	123	39	98799
Verminephrobacter	119	58	49837
Curvibacter	85	34	18204
Hylemonella	78	25	41233
CandidatusSymbiobacter	64	20	6980
Bordetella	1975	1096	178757
Achromobacter	1417	882	177001
Alcaligenes	635	391	34182
Pusillimonas	271	109	13834
Pigmentiphaga	264	107	15916
Taylorella	257	124	1193
Pelistega	239	118	332
Advenella	216	117	8277
Kerstersia	71	31	14361
Oligella	67	19	1789
Basilea	60	22	211
Castellaniella	59	28	17782
Orrella	58	34	10099
Paenalcaligenes	52	18	933
Massilia	1296	764	89249
Undibacterium	1033	501	7672
Janthinobacterium	839	537	57679
Herbaspirillum	569	318	60153
Collimonas	511	232	28195
Herminiimonas	95	70	8084
Noviherbaspirillum	78	50	10682
Oxalobacter	33	17	1116
Thiomonas	323	153	51071
Methylibium	279	151	21018
Roseateles	206	120	20836
Sphaerotilus	183	117	24787
Xylophilus	128	36	41028
Aquabacterium	121	48	16112
Paucibacter	100	70	36846
Mitsuaria	96	101	15673
Leptothrix	90	53	27001
Rhizobacter	86	56	19691
Rubrivivax	85	54	27952
Inhella	73	52	21722
Sutterella	75	23	7137
Neisseria	10823	855	2197324
Kingella	694	41	16896
Simonsiella	559	51	5554
Eikenella	435	58	260488
Vitreoscilla	428	62	37835
Snodgrassella	251	83	8685
Crenobacter	93	33	12925
Chitinolyticbacter	78	52	6056
Chromobacterium	612	331	76415
Iodobacter	101	90	2334
Aquitalea	461	222	38798
Laribacter	136	59	19684
Pseudogulbenkiania	119	68	15470
Aquaspirillum	105	27	26880
Microvirgula	70	36	8713
Vogesella	69	34	15874
Jeongeupia	48	27	7252
Nitrosomonas	1044	734	5888
Nitrosospira	168	97	6518
CandidatusMethylopumilus	555	304	3558
Methylotenera	189	106	2692
Methylophilus	132	58	3870
Methylovorus	73	29	7799
Methylobacillus	69	35	5240
Sterolibacterium	401	257	11963
Denitratisoma	183	85	12900
Sulfuritalea	94	60	7434
Methyloversatilis	79	48	7679
Sulfuriferula	225	94	12475
Ferriphaselus	86	28	3853
Sulfuricella	76	32	5481
Gallionella	75	40	4016
Sideroxydans	46	18	4125
Thiobacillus	62	22	4782
Sulfuritortus	26	5	16605
Thauera	940	527	66926
Azoarcus	715	438	66557
Azospira	72	30	13515
Oryzomicrobium	70	36	8274
Aromatoleum	37	24	2601
Dechloromonas	77	55	11405
CandidatusKinetoplastibacterium	437	331	4162
Casimicrobium	105	34	7697
CandidatusAccumulibacter	88	39	7596
CandidatusProfftella	61	29	1068
CandidatusNasuia	15	20	22
Rhizobium	3240	2007	52112
Agrobacterium	1203	745	23808
Neorhizobium	324	235	5605
Sinorhizobium	879	617	16662
Ensifer	443	274	5608
Liberibacter	419	240	3496
Shinella	87	67	4798
